Symbol,Security,GICSSector,GICS Sub-Industry,Headquarters Location,Founded
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1967
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",1994
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",1995
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1902
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",1927
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",1892
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983 (1885)
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",1906
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1982
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1949
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1979
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",1978
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1990
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",1993
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1880
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1998 (1923 / 1874)
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1784
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio",1963
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1897
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1966
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",1952
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",1976
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",1988
BX,Blackstone,Financials,Asset Management & Custody Banks,"New York City, New York",1985
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",1916
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",1996
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",1880
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1979
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",1989 (1887)
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"Palo Alto, California",1961
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",1962
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",1939
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1870
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",1998
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",1818
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",1970
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",1973
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",1981
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1869
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1994
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1971
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",1993
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1972
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida","2020 (1915, United Technologies spinoff)"
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2007
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",1906
CDW,CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",1918
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",1985
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1882
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1946
CHRW,CH Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1905
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",1947
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",1993
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",1993
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",1985
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",1847
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1950
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",1929
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1984
C,Citigroup,Financials,Diversified Banks,"New York City, New York",1998
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1828
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1913
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",1848
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1886
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1886
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1806
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1963
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2002
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",1945
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",1999
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",1958
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",1982
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1851
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2000
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",1987
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1976
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2021 (1989)
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2011
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",1994
CSX,CSX,Industrials,Rail Transportation,"Jacksonville, Florida",1980
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1996
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1938
DVA,DaVita Inc.,Health Care,Health Care Services,"Denver, Colorado",1979
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",1992
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",1973
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1837
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",1929
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1971
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",1999
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2007
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2004
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",1985
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",1939
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",1986
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",1983
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",1960
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1955
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019 (1897)
DHI,DR Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",1978
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1904
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2017 (1802)
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1920
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1911
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1923
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",1982
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2014 (1946)
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1890
ENPH,Enphase,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2006
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",1993
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",1888
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1899
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",1998
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",1969
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",1971
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",1946
ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",2005
EG,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",1973
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",1909
ES,Eversource,Utilities,Electric Utilities,"Hartford, Connecticut",1966
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",2000
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",1996
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",1979
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",1977
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1999
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",1996
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",1978
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",1956
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",1967
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",1962
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1971
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",1968
FITB,Fifth Third Bank,Financials,Diversified Banks,"Cincinnati, Ohio",1858
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",1999
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",1984
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",1883
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2000
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2016
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",2019
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",1947
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",1912
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1989
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",1979
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",1892
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",1994
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",1982
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",1959
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1899
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1908
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",1925
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",1987
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2000
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1900
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",1997
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",1869
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1968
DOC,Healthpeak,Real Estate,Health Care REITs,"Denver, Colorado",1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",1932
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1985
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1978
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1906
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1888
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939 (2015)
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",1888
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2011
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1911
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1983
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1912
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",1991
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",1859
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",2000
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2000
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1958 (1889)
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1898
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",1961 (1930)
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",1983
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",1995
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",1935
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2012
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1982
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",1951
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",1961
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",1966
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",1976
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",1947
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1886
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",1885
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",2000 (1799 / 1871)
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",1996
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1906
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2022 (Johnson & Johnson spinoff)
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",1981
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1825
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2014 (1939)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1872
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",1958
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1997
KKR,KKR,Financials,Asset Management & Custody Banks,"New York City, New York",1976
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1975/1977 (1997)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015 (1869)
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1883
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida","2019 (L3 1997, Harris 1895)"
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",1978
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",1980
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2016 (1950)
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1988
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",1969
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",1954
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",1876
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1879
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2010
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",1998
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1995
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",1959
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",1998
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2007
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",1856
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1887
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2009 (1887)
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2000
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1927
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1905
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",1993
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1929
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",1966
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",1986
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",1889
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",1833
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1949
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1891
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2004
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1945
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1986
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",1989
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1978
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1975
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",1977
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2010
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",1878
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",1980
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois","2005 (Molson 1786, Coors 1873)"
